,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The 600 Essential Korean Words,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click 'File' -> 'Make a Copy' to make your own copy of this spreadsheet.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Visit us over at thinkinkorean.com to get more weekly tips and resources to help you learn Korean!,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Korean,English,,,,,,,,,,,,,,,,,,,,,,,,
,361,동쪽,east,,,,,,,,,,,,,,,,,,,,,,,,
,362,서쪽,west,,,,,,,,,,,,,,,,,,,,,,,,
,363,방향,direction,,,,,,,,,,,,,,,,,,,,,,,,
,364,여름,summer,,,,,,,,,,,,,,,,,,,,,,,,
,365,봄,spring,,,,,,,,,,,,,,,,,,,,,,,,
,366,겨울,winter,,,,,,,,,,,,,,,,,,,,,,,,
,367,가을,autumn,,,,,,,,,,,,,,,,,,,,,,,,
,368,계절,season,,,,,,,,,,,,,,,,,,,,,,,,
,369,공,zero; ball,,,,,,,,,,,,,,,,,,,,,,,,
,370,하나,1,,,,,,,,,,,,,,,,,,,,,,,,
,371,둘,2,,,,,,,,,,,,,,,,,,,,,,,,
,372,셋,3,,,,,,,,,,,,,,,,,,,,,,,,
,373,넷,4,,,,,,,,,,,,,,,,,,,,,,,,
,374,다섯,5,,,,,,,,,,,,,,,,,,,,,,,,
,375,여섯,6,,,,,,,,,,,,,,,,,,,,,,,,
,376,일곱,7,,,,,,,,,,,,,,,,,,,,,,,,
,377,여덟,8,,,,,,,,,,,,,,,,,,,,,,,,
,378,아홉,9,,,,,,,,,,,,,,,,,,,,,,,,
,379,열,10,,,,,,,,,,,,,,,,,,,,,,,,
,380,열하나,11,,,,,,,,,,,,,,,,,,,,,,,,
,381,열둘,12,,,,,,,,,,,,,,,,,,,,,,,,
,382,열셋,13,,,,,,,,,,,,,,,,,,,,,,,,
,383,열넷,14,,,,,,,,,,,,,,,,,,,,,,,,
